gene	layer	n_raw_hits	n_indep_loci	sum_abs_beta	max_abs_beta	mean_abs_beta
ALG1	upstream	0	0	0.0	0.0	
ALG10	upstream	0	0	0.0	0.0	
ALG10B	upstream	0	0	0.0	0.0	
ALG11	upstream	0	0	0.0	0.0	
ALG12	upstream	0	0	0.0	0.0	
ALG13	upstream	0	0	0.0	0.0	
ALG14	upstream	0	0	0.0	0.0	
ALG2	upstream	0	0	0.0	0.0	
ALG3	upstream	0	0	0.0	0.0	
ALG5	upstream	0	0	0.0	0.0	
ALG6	upstream	0	0	0.0	0.0	
ALG8	upstream	0	0	0.0	0.0	
ALG9	upstream	0	0	0.0	0.0	
B4GALNT2	downstream	0	0	0.0	0.0	
B4GALT1	downstream	45	1	20.99779066	1.0251	0.477222515
B4GALT2	downstream	0	0	0.0	0.0	
B4GALT3	downstream	0	0	0.0	0.0	
B4GALT4	downstream	0	0	0.0	0.0	
B4GALT5	downstream	0	0	0.0	0.0	
B4GALT6	downstream	0	0	0.0	0.0	
CALR	downstream	0	0	0.0	0.0	
CANX	downstream	0	0	0.0	0.0	
CHST10	downstream	0	0	0.0	0.0	
CHST8	downstream	0	0	0.0	0.0	
CMAS	upstream	0	0	0.0	0.0	
DAD1	upstream	0	0	0.0	0.0	
DDOST	upstream	0	0	0.0	0.0	
DHDDS	upstream	0	0	0.0	0.0	
DOLK	upstream	0	0	0.0	0.0	
DOLPP1	upstream	0	0	0.0	0.0	
DPAGT1	upstream	0	0	0.0	0.0	
DPM1	upstream	0	0	0.0	0.0	
DPM2	upstream	0	0	0.0	0.0	
DPM3	upstream	0	0	0.0	0.0	
EDEM1	downstream	0	0	0.0	0.0	
EDEM2	downstream	0	0	0.0	0.0	
EDEM3	downstream	0	0	0.0	0.0	
ENGASE	downstream	0	0	0.0	0.0	
FCSK	upstream	0	0	0.0	0.0	
FPGT	upstream	0	0	0.0	0.0	
FUT3	downstream	19	1	6.679650479999999	0.44469345	0.35156055157894733
FUT8	downstream	152	1	44.09379869	0.785	0.29009078085526313
GANAB	downstream	0	0	0.0	0.0	
GFPT1	upstream	0	0	0.0	0.0	
GFPT2	upstream	0	0	0.0	0.0	
GMDS	upstream	0	0	0.0	0.0	
GMPPA	upstream	0	0	0.0	0.0	
GMPPB	upstream	0	0	0.0	0.0	
GNE	upstream	0	0	0.0	0.0	
GNPNAT1	upstream	0	0	0.0	0.0	
HK1	upstream	0	0	0.0	0.0	
MAGT1	upstream	0	0	0.0	0.0	
MAN1A1	downstream	0	0	0.0	0.0	
MAN1A2	downstream	0	0	0.0	0.0	
MAN1B1	downstream	0	0	0.0	0.0	
MAN1C1	downstream	0	0	0.0	0.0	
MAN2A1	downstream	0	0	0.0	0.0	
MAN2A2	downstream	0	0	0.0	0.0	
MGAT1	downstream	0	0	0.0	0.0	
MGAT2	downstream	0	0	0.0	0.0	
MGAT3	downstream	76	1	22.169853220000004	0.5559	0.29559804293333336
MGAT4A	downstream	0	0	0.0	0.0	
MGAT4B	downstream	0	0	0.0	0.0	
MGAT4C	downstream	0	0	0.0	0.0	
MGAT5	downstream	16	1	3.95822918	0.440475	0.24738932375
MLEC	downstream	0	0	0.0	0.0	
MOGS	downstream	0	0	0.0	0.0	
MPDU1	upstream	0	0	0.0	0.0	
MPI	upstream	0	0	0.0	0.0	
NAGK	upstream	0	0	0.0	0.0	
NANP	upstream	0	0	0.0	0.0	
NANS	upstream	0	0	0.0	0.0	
NGLY1	downstream	0	0	0.0	0.0	
NUS1	upstream	0	0	0.0	0.0	
OS9	downstream	0	0	0.0	0.0	
OST4	upstream	0	0	0.0	0.0	
OSTC	upstream	0	0	0.0	0.0	
PDIA3	downstream	0	0	0.0	0.0	
PGM3	upstream	0	0	0.0	0.0	
PMM1	upstream	0	0	0.0	0.0	
PMM2	upstream	0	0	0.0	0.0	
PRKCSH	downstream	0	0	0.0	0.0	
RFT1	upstream	0	0	0.0	0.0	
RPN1	upstream	0	0	0.0	0.0	
RPN2	upstream	0	0	0.0	0.0	
SEL1L	downstream	0	0	0.0	0.0	
SLC35A1	upstream	0	0	0.0	0.0	
SLC35C1	upstream	0	0	0.0	0.0	
SRD5A3	upstream	0	0	0.0	0.0	
ST3GAL4	downstream	14	1	7.2362842	0.817698	0.5168774428571429
ST6GAL1	downstream	57	1	24.7847984	0.7558	0.4425856857142857
ST8SIA2	downstream	0	0	0.0	0.0	
ST8SIA3	downstream	0	0	0.0	0.0	
ST8SIA6	downstream	0	0	0.0	0.0	
STT3A	upstream	0	0	0.0	0.0	
STT3B	upstream	0	0	0.0	0.0	
TMEM258	upstream	0	0	0.0	0.0	
TUSC3	upstream	0	0	0.0	0.0	
UAP1	upstream	0	0	0.0	0.0	
UGGT1	downstream	0	0	0.0	0.0	
UGGT2	downstream	0	0	0.0	0.0	
